ingredient,count,name
olive oil,18,"extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil,extra virgin Olive Oil"
blend,17,"Blend,Blend,Blend,Blend,Blend,Blend,Blend,4:1 Herbal Extract Blend,Organic Extract Blend,4:1 Herbal Extract Blend,4:1 Herbal Extract Blend,Absorption Enhancing Superfoods,Organic Extract Blend,Organic Extract Blend,Calm Support Blend,Absorption Enhancing Superfoods,Amino Acids,Calm Support Blend"
chamomile (unspecified),16,"fresh Chamomile extract,fresh Chamomile extract,fresh Chamomile extract,fresh Chamomile extract,fresh Chamomile extract,fresh Chamomile extract,fresh Chamomile extract,Chamomile,Chamomile,Chamomile,Chamomile,fresh Chamomile extract,Chamomile,Chamomile,Chamomile,Chamomile"
silicon,16,"Silica,Silica,Silica,Silica,Silica,Silica,Silica,Silica,Silica,Silica,Silica,Silica,Silica,Silicon Dioxide,Silica,Silica"
english lavender,16,"certified organic Lavender extract,certified organic Lavender extract,English Lavender,Lavender,Lavender,Lavender,Lavender [leaf] oil,Lavender Flower Essential Oil,Lavender Flower Essential Oil,Lavender extract,Lavender extract,Lavender,Lavender,Lavender Essential Oil,Lavender Essential Oil,Lavender,Lavender flowers essential oil"
german chamomile,15,"Chamomile,Chamomile,Chamomile,Chamomile,Chamomile,Chamomile,Chamomile,Chamomile extract,Chamomile extract,Chamomile flower extract,Chamomile flower extract,Chamomile flower extract,Chamomile,Chamomile flower extract,Chamomile flower extract"
kava kava,15,"certified organic Kava Kava (Piper methysticum) dried root extract,certified organic Kava Kava (Piper methysticum) dried root extract,certified organic Kava kava dried root extract,Kava,certified organic Kava Kava extract,Kava Kava,Kava Kava,Kava Kava,Kava Kava,Kava Kava,Kava Kava,Kava (Piper methysticum) root extract,Kava (Piper methysticum) root extract,Kava Root Extract,Kava Root Extract"
gotu kola,14,"Gotu Kola,Gotu Kola,Gotu Kola,Gotu Kola,Gotu Kola,Gotu Kola,organic Gotu Kola (Centella asiatica) leaf extract,organic Gotu Kola (Centella asiatica) leaf extract,organic Gotu Kola extract,organic Gotu Kola extract,Gotu Kola leaf extract,Gotu Kola 4:1 extract,Gotu Kola,Gotu Kola"
lemon,14,"Lemon,Lemon,Lemon,Lemon,Lemon,Lemon,Lemon,Lemon,Lemon,Lemon,Lemon,Lemon,Lemon fruit juice,Lemon essential Oil"
european elder,13,"Black Elderberry (Sambucus nigra) fruit juice concentrate,Black Elderberry (Sambucus nigra) fruit juice concentrate,Black Elderberry (Sambucus nigra) fruit juice concentrate,Black Elderberry (Sambucus nigra) fruit juice concentrate,Black Elderberry (Sambucus nigra) fruit juice concentrate,Black Elderberry fruit juice concentrate,Black Elderberry fruit juice concentrate,Black Elderberry (Sambucus nigra) fruit juice concentrate,Black Elderberry (Sambucus nigra) fruit juice concentrate,Black Elderberry (Sambucus nigra) fruit juice concentrate,Black Elderberry (Sambucus nigra) fruit juice concentrate,Black Elderberry (Sambucus nigra) fruit juice concentrate,Black Elderberry Fruit Juice Concentrate"
xanthan gum,13,"Xanthan Gum,Xanthan Gum,Xanthan Gum,Xanthan Gum,Xanthan Gum,Xanthan Gum,Xanthan Gum,Xanthan Gum,Xanthan Gum,Xanthan Gum,Xanthan Gum,Xanthan Gum,Xanthan Gum"
jujube,13,"Wild Jujube Extract,Ziziphus,Ziziphus,Ziziphus extract,Ziziphus extract,Ziziphus extract,Jujube seed extract,Jujube seed extract,Jujube seed extract,Ziziphus extract,Ziziphus extract,Jujube fruit seed extract,Jujube"
acerola,13,"Acerola (Malpighia glabra) fruit extract,Acerola (Malpighia glabra) fruit extract,Acerola (Malpighia glabra) fruit extract,Acerola (Malpighia glabra) fruit extract,Acerola (Malpighia glabra) fruit extract,Acerola fruit dried extract,Acerola fruit dried extract,Acerola fruit (Malpighia glabra) dried extract,Acerola fruit (Malpighia glabra) dried extract,Acerola fruit (Malpighia glabra) dried extract,Acerola fruit (Malpighia glabra) dried extract,Acerola (Malpighia glabra) fruit extract,Acerola Fruit Extract"
sucrose,13,"Cane Sugar,Cane Sugar,Cane Sugar,Cane Sugar,Cane Sugar,Sugar,Sugar,Sugar,Sugar,Sugar,Sugar,Cane Sugar,Cane Sugar"
mullein,13,"Mullein,Mullein,Mullein,Mullein,Mullein,Mullein,Mullein,Mullein,Mullein extract,Verbascum thapsus,Verbascum thapsus,Verbascum thapsus,Mullein"
proprietary blend (combination),12,"Proprietary Blend,Proprietary Blend,Proprietary Herbal Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Extract Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend,Proprietary Blend"
grindelia,12,"Grindelia (Grindelia camporum) flowering tops extract,Grindelia (Grindelia camporum) flowering tops extract,Grindelia (Grindelia camporum) flowering tops extract,Grindelia (Grindelia camporum) flowering tops extract,Grindelia (Grindelia camporum) flowering tops extract,freeze-dried extract of Grindelia,freeze-dried extract of Grindelia,freeze-dried extract of Grindelia,freeze-dried extract of Grindelia,freeze-dried extract of Grindelia,freeze-dried extract of Grindelia,Grindelia (Grindelia camporum) flowering tops extract"
hawthorn,12,"certified organic Hawthorn (Crataegus laevigata) dried leaves and flowers,certified organic Hawthorn (Crataegus laevigata) dried leaves and flowers,certified organic Hawthorn extract,certified organic Hawthorn (Crataegus laevigata) dried leaves and flowers,certified organic Hawthorn powder extract,Hawthorn Flower,Hawthorn Berry Extract,Hawthorn Berry Extract,Hawthorn Extract,Hawthorn powder,Hawthorn powder,Hawthorn powder"
magnesium,11,"Magnesium,Magnesium,Magnesium,Magnesium,Magnesium,Magnesium,Magnesium,Magnesium,Magnesium,Magnesium,Magnesium Stearate,Magnesium Stearate"
catnip,11,"Catnip,Catnip,Catnip,Catnip,Catnip leaf extract,Catnip aerial parts extract,Catnip extract,Catnip extract,Catnip aerial parts extract,Catnip aerial parts extract,Catnip"
sweet orange,11,"Sweet Orange essential oil,Sweet Orange essential oil,Sweet Orange essential oil,Sweet Orange essential oil,certified organic Sweet Orange essential oil,Sweet Orange essential oil,Sweet Orange essential oil,certified organic Sweet Orange essential oil,Sweet Orange Essential Oil,Sweet Orange Essential Oil,Sweet Orange Essential Oil"
licorice,10,"Licorice,Licorice,Licorice,Licorice,Licorice,Licorice,Licorice,Licorice,Licorice,Licorice extract"
melatonin,10,"Melatonin,Melatonin,Melatonin,Melatonin,Melatonin,Melatonin,Melatonin,Melatonin,Melatonin,Melatonin"
sugar,9,"Total Sugars,Added Sugars,Total Sugars,Added Sugars,Total Sugars,Added Sugars,Total Sugars,Added Sugars,Total Sugars,Added Sugars,Added Sugars,Total Sugars,Total Sugars,Added Sugars"
wild cherry,9,"Wild Cherry,Wild Cherry,Wild Cherry,Wild Cherry,Wild Cherry,Wild Cherry,Wild Cherry,Wild Cherry,Wild Cherry extract"
thyme,9,"Thyme,Thyme,Thyme,Thyme,Thyme,Thyme,Thyme,Thyme,Thyme extract"
anise,9,"Anise,Anise,Anise,Anise,Anise,Anise,Anise,Anise,Anise extract"
blue vervain,9,"certified organic Blue Vervain (Berbena hastata) dried above-ground parts extract,certified organic Blue Vervain (Berbena hastata) dried above-ground parts extract,certified organic Blue Vervain extract,certified organic Blue Vervain extract,Blue Vervain Extract,Blue Vervain Aerial Parts Extract,Blue Vervain Extract,Blue Vervain Aerial Parts Extract,Blue Vervain"
magnesium stearate,8,"Vegetable Stearate,Magnesium Stearate,Magnesium Stearate,Magnesium Stearate,Magnesium Stearate,Vegetable Stearate,Vegetable Stearate,Vegetable Stearate"
corydalis,8,"Corydalis yanhusuo,Corydalis yanhusuo,Corydalis yanhusuo,Corydalis yanhusuo [rhizome] 4:1 extract,Corydalis extract,Corydalis tuber extract,Corydalis extract,Corydalis yahhusuo"
theanine,8,"L-Theanine,L-Theanine,L-Theanine,L-Theanine,L-Theanine,L-Theanine,L-Theanine,L-Theanine"
meadowsweet,7,"Meadowsweet,Meadowsweet,Meadowsweet,Meadowsweet [herb] 4:1 extract,Meadowsweet extract,Meadowsweet extract,Meadowsweet extract"
cannabinoids,7,"Cannabinoids,Total Cannabinoids,Total Cannabinoids,Total Cannabinoids,Total Cannabinoids,Total Cannabinoids,Total Cannabinoids"
ashwagandha,7,"Ashwagandha 4:1 extract,Sensoril Ashwagandha (Withania somnifera) root & leaf extract,Sensoril Ashwagandha (Withania somnifera) root & leaf extract,Sensoril Ashwagandha (Withania somnifera) root & leaf extract,Ashwagandha,Ashwagandha,Ashwagandha"
european vervain,7,"organic Vervain aerial parts extract,organic Vervain aerial parts extract,organic Vervain aerial parts extract,organic Vervain aerial parts extract,Vervain Aerial Parts Extract,Vervain Aerial Parts Extract,organic Vervain extract"
stearic acid,7,"Stearic Acid,Stearic Acid,Stearic Acid,Stearic Acid,Stearic Acid,Stearic Acid,Stearic Acid"
hemp,7,"organic Hemp flower extract,Hemp decarboxylated flowering top extract,Hemp decarboxylated flowering top extract,Hemp decarboxylated flowering top extract,Hemp decarboxylated flowering top extract,Hemp decarboxylated flowering top extract,Hemp decarboxylated flowering top extract"
sugar cane,6,"organic Sugarcane,organic Sugarcane,organic Sugarcane,organic Sugarcane,organic Sugarcane,organic Sugarcane"
gaba,6,"GABA,GABA,Gamma Aminobutyric Acid,Gamma Aminobutyric Acid,Gamma Aminobutyric Acid,GABA"
inositol,6,"Inositol,Inositol,Inositol,Inositol,Inositol,Inositol"
citric acid,6,"Citric Acid,Citric Acid,Citric Acid,Citric Acid,Citric Acid,Citric Acid"
vervain (unspecified),6,"Vervain,Vervain,Vervain,Vervain,Vervain,Vervain"
calcium,5,"Calcium,Calcium,Calcium,Calcium,Calcium"
manganese,5,"Manganese,Manganese,Manganese,Manganese,Manganese"
coating,5,"Coating,Coating,Coating,Coating,Vegetable Food Glaze"
hypromellose,5,"Hypromellose,Hypromellose,Hypromellose,Hypromellose,Hydroxypropyl Methylcellulose"
wild lettuce,4,"certified organic Wild Lettuce extract,certified organic Wild Lettuce extract,Wild lettuce leaf extract,Wild Lettuce"
yucca,4,"Yucca,Yucca brevifolia,Yucca brevifolia,Yucca brevifolia"
cardamom,4,"Cardamom,Cardamom extract,Cardamom extract,Cardamom extract"
vitamin c (unspecified),4,"Vitamin C,Vitamin C,Vitamin C,Vitamin C"
ginger,4,"Ginger [fresh rhizome] juice 4:1 extract,Ginger,Ginger (Zingiber officinale) extract,Ginger"
turmeric,4,"Turmeric extract,Turmeric extract,Turmeric extract,Turmeric"
holy basil,4,"Holy Basil leaf extract,Holy Basil leaf extract,Holy Basil leaf extract,Holy Basil"
lavandin,4,"Lavandin Flower Extract,Lavandin Flower Extract,Lavandin Flower Extract,Lavandin Flower Extract"
lettuce,4,"Wild Lettuce Herb Extract,Wild Lettuce Herb Extract,Wild Lettuce Herb Extract,Wild Lettuce Herb Extract"
maltodextrin,4,"Maltodextrin,Maltodextrin,Maltodextrin,Maltodextrin"
rhodiola,4,"Rhodiola root extract,Rhodiola root extract,Rhodiola root extract,Golden Root"
black cohosh,4,"Black Cohosh,Cimicifuga racemosa,Cimicifuga racemosa,Cimicifuga racemosa"
5-htp,4,"5-HTP,5-HTP,5-HTP,5-HTP"
agrimony,4,"Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,Agrimony"
white peony,3,"Chinese Peony,Chinese Peony,Chinese Peony"
black-eyed susan,3,"Rudbeckia hirta,Rudbeckia hirta,Rudbeckia hirta"
linden,3,"Linden extract,Linden extract,Linden extract"
vitamin c,3,"Vitamin C,Ascorbyl Palmitate,Vitamin C"
black pepper,3,"Black Pepper extract,Black Pepper extract,Black Pepper extract"
jamacian dogwood,3,"Jamaica Dogwood extract,Jamaica Dogwood extract,Jamaica Dogwood extract"
nutmeg,3,"Nutmeg seed extract,Nutmeg seed extract,Nutmeg seed extract"
carbohydrate (unspecified),2,"Total Carbohydrate,Total Carbohydrate"
vitamin b12,2,"Vitamin B12,Vitamin B12"
glutamine,2,"L-Glutamine,L-Glutamine"
niacin,2,"Niacin,Niacin"
gentian,2,"Gentian 4:1 extract,Gentian"
brandy,2,"brandy,Brandy"
mugwort,2,"Mugwort,Mugwort"
gelatin,2,"Gelatin,Gelatin"
blue-green algae,2,"organic Spirulina,organic Spirulina"
vitamin b6,2,"Vitamin B6,Vitamin B6"
papaya,2,"Papaya,Papaya"
bee pollen,2,"Bee Pollen,Bee Pollen"
barley,2,"Barley,Barley Grass"
chamomile (not specified),2,"Chamomile,Chamomile"
cysteine,2,"L-Cysteine,L-Cysteine"
thiamin,2,"Thiamine,Vitamin B1"
choline,2,"Choline,Choline"
cowhage,2,"Mucuna,Mucuna pruriens"
potassium,2,"Potassium Sorbate,Potassium"
sugar (unspecified),2,"added Sugars,added Sugars"
asclepias cordifolia,2,"Asclepias cordifolia,Asclepias cordifolia"
dl-phenylalanine,2,"DL-Phenylalanine,DL-Phenylalanine"
rice,2,"certified organic Brown Rice,myceliated Brown Rice"
methionine,2,"L-Methionine,L-Methionine"
biotin,2,"Biotin,Biotin"
zinc,2,"Zinc,Zinc"
medium chain triglycerides (mct),2,"Medium Chain Triglycerides,Medium Chain Triglycerides"
riboflavin,2,"Riboflavin,Riboflavin"
folate,2,"Folate,Folic Acid,Folic Acid"
american ginseng,2,"American Ginseng 4:1 Extract,American Ginseng"
flavonoid (mixture),2,"Citrus Bioflavonoid extract,Lemon Bioflavonoid Complex"
chastetree,1,Chaste Tree (Vitex) [fruit] 6:1 extract
sodium citrate,1,Sodium Citrate
dandelion,1,fresh Dandelion
irish moss,1,Irish Moss
dextrin,1,Dextrin
jamaican dogwood,1,Jamaican Dogwood
valerenic acid derivatives,1,providing 1.35 mg Valerenic acid derivatives
acacia,1,Gum Arabic
maytenus krukovii,1,Chuchuhuasi
slippery elm,1,Slippery Elm
pantothenic acid,1,Pantothenic Acid
white willow,1,White Willow
celery,1,Celery
hericium mushroom,1,Lions Mane
coltsfoot,1,Coltsfoot
reishi mushroom,1,Reishi
honey,1,Honey
coconut oil,1,Coconut Oil
gumweed,1,Grindelia Flowering Tops Extract
sweet marjoram,1,Marjoram tops essential oil
mallow,1,Mallow
curcumin,1,Longvida Curcumin
prickly ash (unspecified),1,Prickly Ash
tarrify,1,Tarrify
taurine,1,Taurine
sour cherry,1,Tart Cherry
tayuya,1,Tayuya
tbd,1,Rosavin
croscarmellose sodium,1,Croscarmellose Sodium
astragalus,1,Astragalus
chromium,1,Chromium
vitamin b5,1,Vitamin B5
mulungu,1,Mulungu
baikal skullcap,1,Skullcap
ginkgo,1,Ginkgo biloba
eleuthero,1,Eleuthero
lobelia,1,Lobelia
lavandula (unspecified),1,certified organic Lavender (Lavandula x intermedia) dried flowers extract
english ivy,1,Common Ivy
muira puama,1,Muira Puama
glucose,1,Dextrose
blend (combination),1,Amino Acids
schisandra,1,Wu Wei Zi
carboxy methyl cellulose,1,Carboxy Methyl Cellulose
purple milkweed,1,Asclepias cordifolia
l-carnitine,1,L-Carnitine
vitamin b6 (unspecified),1,Vitamin B-6
fiber (unspecified),1,Dietary Fiber
